BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20210617,0.020357288082703744,7,0.0058,434.73,14.7,21064,445,425,0.16,0.63,2789,2235,92.011133347135,18172198.836059164,1114350.1130760107,0,19286548.949135177,0.0019286548949135178
20210624,0.020426530559175524,7,0.0061,438.38,14.75,21071,447.5,427.5,0.23,0.4,2740,2124,91.24503855102878,14371093.571787033,1171544.2347822336,0,15542637.806569267,0.0015542637806569266
20210701,0.019623317832102864,7,0.0062,436.34,14.17,21072,445,427.5,0.36,0.66,109037,89675,91.67163221341157,23376266.21441995,1191820.630010153,0,24568086.844430104,0.0024568086844430105
20210708,0.018404650246199507,7,0.0064,432.63,13.29,21073,442.5,422.5,0.18,0.79,3161,2774,92.45775836164853,22421006.40269977,1230149.2084570986,0,23651155.611156866,0.0023651155611156866
20210715,0.017961498396780108,7,0.0062,436.76,12.97,21074,445,427.5,0.19,0.41,3873,3486,91.58347834050737,13737521.751076106,1190674.5436821827,0,14928196.294758288,0.0014928196294758287
20210722,0.022323774414502336,7,0.0063,431.38,16.12,21075,442.5,420,0.17,0.34,2947,2828,92.7256711020446,11822523.065510686,1209647.5979922984,0,13032170.663502986,0.0013032170663502985
20210729,0.02230992591920798,7,0.0063,429.49,16.11,21081,440,417.5,0.19,0.35,4732,1812,93.13371673380055,12573051.759063074,1209738.278308424,0,13782790.037371498,0.0013782790037371497
20210805,0.020454227549764236,7,0.0064,434.74,14.77,21082,445,425,0.4,0.6,205236,121528,92.0090168836546,23002254.22091365,1230220.55065506,60265906.058793865,-36033431.28722516,-0.003603343128722516
20210812,0.02093892488506671,7,0.006,422.38,15.12,21083,432.5,412.5,0.2,0.38,4705,2476,94.7014536673138,13731710.781760503,1152265.0187748875,178512240.162887,-163628264.36235163,-0.016362826436235163
20210819,0.021437470715663536,7,0.0061,404.96,15.48,21084,415,395,0.46,1.23,6276,6657,98.77518767285659,41732516.7917819,1174745.1464849566,0,42907261.93826686,0.0042907261938266855
20210826,0.021437470715663536,7,0.006500000000000001,410.38,15.48,21091,420,400,0.47,0.91,3981,4419,97.4706369706126,33627369.75486135,1250767.2474625923,0,34878137.00232394,0.003487813700232394
20210902,0.02071734896035701,7,0.006600000000000001,415.89,14.96,21092,425,405,0.7,0.55,168089,167727,96.17927817451731,30056024.42953666,1269557.7762428622,0,31325582.205779523,0.0031325582205779523
20210909,0.020398833568586815,7,0.0072,407.28,14.73,21093,417.5,397.5,0.48,1.16,3811,2025,98.21253191907289,40267138.08681989,1386382.0924919883,0,41653520.17931188,0.0041653520179311876
20210916,0.02030189410152632,7,0.0073,409.22,14.66,21094,420,400,0.1,0.49,6597,3912,97.74693318997116,14417672.645520747,1402018.4741703728,0,15819691.119691119,0.0015819691119691118
20210923,0.021437470715663536,7,0.0079,410.46,15.48,21095,420,400,0.22,0.93,4982,3732,97.45163962383667,28017346.391853046,1519313.3130286837,0,29536659.704881728,0.0029536659704881727
20210930,0.024747261091014692,7,0.008100000000000001,401.3,17.87,21101,412.5,390,0.25,0.61,4235,3673,99.676052828308,21430351.35808622,1556753.701156174,46349364.56516356,-23362259.505921166,-0.0023362259505921167
