BAS_DD,MMF
20231204,3.97
20231205,3.97
20231206,3.97
20231207,3.97
20231208,3.98
20231211,3.98
20231212,3.98
20231213,3.98
20231214,3.98
20231215,4.04
20231218,4.04
20231219,4.04
20231220,4.04
20231221,4.04
20231222,4.02
20231226,4.02
20231227,4.02
20231228,4.02
20231229,4.01
20240102,4.01
20240103,4.01
20240104,4.01
20240105,4.05
20240108,4.05
20240109,4.05
20240110,4.05
20240111,4.05
20240112,3.92
20240115,3.92
20240116,3.92
20240117,3.92
20240118,3.92
20240119,3.89
20240122,3.89
20240123,3.89
20240124,3.89
20240125,3.89
20240126,3.89
20240129,3.89
20240130,3.89
20240131,3.89
20240201,3.89
20240202,3.88
20240205,3.88
20240206,3.88
20240207,3.88
20240208,3.87
20240213,3.87
20240214,3.87
20240215,3.87
20240216,3.89
20240219,3.89
20240220,3.89
20240221,3.89
20240222,3.89
20240223,3.89
20240226,3.89
20240227,3.89
20240228,3.89
20240229,3.9
20240304,3.9
20240305,3.9
20240306,3.9
20240307,3.9
20240308,3.81
20240311,3.81
20240312,3.81
20240313,3.81
20240314,3.81
20240315,3.82
20240318,3.82
20240319,3.82
20240320,3.82
20240321,3.82
20240322,3.75
20240325,3.75
20240326,3.75
20240327,3.75
20240328,3.75
20240329,3.74
20240401,3.74
20240402,3.74
20240403,3.74
20240404,3.74
20240405,3.74
20240408,3.74
20240409,3.74
20240411,3.74
20240412,3.71
20240415,3.71
20240416,3.71
20240417,3.71
20240418,3.71
20240419,3.69
20240422,3.69
20240423,3.69
20240424,3.69
20240425,3.69
20240426,3.68
20240429,3.68
20240430,3.68
20240502,3.68
20240503,3.7
20240507,3.7
20240508,3.7
20240509,3.7
20240510,3.65
20240513,3.65
20240514,3.65
20240516,3.65
20240517,3.7
20240520,3.7
20240521,3.7
20240522,3.7
20240523,3.7
20240524,3.65
20240527,3.65
20240528,3.65
20240529,3.65
20240530,3.65
20240531,3.64
20240603,3.64
20240604,3.64
20240605,3.64
20240607,3.64
20240610,3.64
20240611,3.64
20240612,3.64
20240613,3.64
20240614,3.66
20240617,3.66
20240618,3.66
20240619,3.66
20240620,3.66
20240621,3.64
20240624,3.64
20240625,3.64
20240626,3.64
20240627,3.64
20240628,3.66
20240701,3.66
20240702,3.66
20240703,3.66
20240704,3.66
20240705,3.65
20240708,3.65
20240709,3.65
20240710,3.65
20240711,3.65
20240712,3.63
20240715,3.63
20240716,3.63
20240717,3.63
20240718,3.63
20240719,3.61
20240722,3.61
20240723,3.61
20240724,3.61
20240725,3.61
20240726,3.6
20240729,3.6
20240730,3.6
20240731,3.6
20240801,3.6
20240802,3.59
20240805,3.59
20240806,3.59
20240807,3.59
20240808,3.59
20240809,3.58
20240812,3.58
20240813,3.58
20240814,3.58
20240816,3.57
20240819,3.57
20240820,3.57
20240821,3.57
20240822,3.57
20240823,3.56
20240826,3.56
20240827,3.56
20240828,3.56
20240829,3.56
20240830,3.54
20240902,3.54
20240903,3.54
20240904,3.54
20240905,3.54
20240906,3.55
20240909,3.55
20240910,3.55
20240911,3.55
20240912,3.55
20240913,3.58
20240919,3.58
20240920,3.56
20240923,3.56
20240924,3.56
20240925,3.56
20240926,3.56
20240927,3.55
20240930,3.55
20241002,3.55
20241004,3.55
20241007,3.55
20241008,3.55
20241010,3.55
20241011,3.53
20241014,3.53
20241015,3.53
20241016,3.53
20241017,3.53
20241018,3.49
20241021,3.49
20241022,3.49
20241023,3.49
20241024,3.49
20241025,3.44
20241028,3.44
20241029,3.44
20241030,3.44
20241031,3.44
20241101,3.42
20241104,3.42
20241105,3.42
20241106,3.42
20241107,3.42
20241108,3.4
20241111,3.4
20241112,3.4
20241113,3.4
20241114,3.4
20241115,3.44
20241118,3.44
20241119,3.44
20241120,3.44
20241121,3.44
20241122,3.4
20241125,3.4
20241126,3.4
20241127,3.4
20241128,3.4
20241129,3.41
20241202,3.41
20241203,3.41
20241204,3.41
20241205,3.41
20241206,3.35
20241209,3.35
20241210,3.35
20241211,3.35
20241212,3.35
20241213,3.34
20241216,3.34
20241217,3.34
20241218,3.34
20241219,3.34
20241220,3.32
20241223,3.32
20241224,3.32
20241226,3.32
20241227,3.35
20241230,3.35
20241231,3.35
20250102,3.35
20250103,3.41
20250106,3.41
20250107,3.41
20250108,3.41
20250109,3.41
20250110,3.34
20250113,3.34
20250114,3.34
20250115,3.34
20250116,3.34
20250117,3.29
20250120,3.29
20250121,3.29
20250122,3.29
20250123,3.29
20250124,3.25
20250131,3.24
20250203,3.24
20250204,3.24
20250205,3.24
20250206,3.24
20250207,3.26
20250210,3.26
20250211,3.26
20250212,3.26
20250213,3.26
20250214,3.24
20250217,3.24
20250218,3.24
20250219,3.24
20250220,3.24
20250221,3.19
20250224,3.19
20250225,3.19
20250226,3.19
20250227,3.19
20250228,3.16
20250304,3.16
20250305,3.16
20250306,3.16
20250307,3.09
20250310,3.09
20250311,3.09
20250312,
